Density,Average_ratio_of_changes_in_time_execution,Ratio betweeen amounts_of_vertices
10,7.166824361899314,2
10,22.21765507523767,3
10,50.29165893554435,4
10,92.30192170638709,5
10,147.4007742455907,6
10,185.72532517214992,7
10,274.96826452879145,8
10,388.8591197897608,9
10,527.1993612986927,10
20,7.532335804448291,2
20,24.30782906202819,3
20,55.99942855453587,4
20,106.07262171569307,5
20,176.501784470279,6
20,256.94226569176715,7
20,382.9039502421423,8
20,542.2793656822714,9
20,734.9585984237015,10
30,7.436961955757498,2
30,23.66015380832011,3
30,54.160618985958344,4
30,100.93655927386324,5
30,160.75164392913848,6
30,293.88333242044143,7
30,437.47674864435555,8
30,619.331763159336,9
30,844.6405762173412,10
40,7.390049645848153,2
40,23.38021310532463,3
40,53.20270469181892,4
40,97.90475868278037,5
40,151.6548479467196,6
40,300.8910339393257,7
40,446.91534868013736,8
40,634.9470929250858,9
40,863.1544436314514,10
50,7.84422855583048,2
50,25.87549750060284,3
50,60.811240659392155,4
50,117.33556196004538,5
50,198.62566618333074,6
50,322.573912534395,7
50,462.8808032316609,8
50,658.1103565365025,9
50,908.9853053099935,10
