Amount of verticles,Density,Average execution of algorithm in seconds
20,10,0.000751525
20,20,0.00052655
20,30,0.00045642500000000005
20,40,0.00044417500000000005
20,50,0.000427025
30,10,0.0016550999999999996
30,20,0.001502875
30,30,0.002076825
30,40,0.0024809999999999997
30,50,0.001397925
40,10,0.003817425
40,20,0.0034431250000000004
40,30,0.0033429
40,40,0.0032679
40,50,0.003203449999999999
50,10,0.00706405
50,20,0.006561325
50,30,0.006400225000000001
50,40,0.0062552
50,50,0.0061867499999999995
60,10,0.01194345
60,20,0.011115925000000002
60,30,0.010891950000000001
60,40,0.010710174999999999
60,50,0.01060195
70,10,0.018685475
70,20,0.017577100000000002
70,30,0.017204775
70,40,0.0170123
70,50,0.016865875
80,10,0.028002725
80,20,0.0259841
80,30,0.025529175000000005
80,40,0.025239675
80,50,0.025135949999999997
90,10,0.038441075000000005
90,20,0.03674495
90,30,0.036157625
90,40,0.035837975
90,50,0.0356213
100,10,0.052398075
100,20,0.05007122500000001
100,30,0.04933777499999999
100,40,0.04896915
100,50,0.048671450000000005
110,10,0.06876795
110,20,0.06636157499999999
110,30,0.06547995000000001
110,40,0.0649866
110,50,0.06457905
120,10,0.088855625
120,20,0.08583270000000001
120,30,0.084617725
120,40,0.084231
120,50,0.083789975
130,10,0.11230017499999997
130,20,0.10855389999999998
130,30,0.107592875
130,40,0.1066847
130,50,0.1062397
140,10,0.13957722499999997
140,20,0.13529295
140,30,0.1341357
140,40,0.133648275
140,50,0.13774712500000003
150,10,0.171129525
150,20,0.166412075
150,30,0.16487915
150,40,0.164109125
150,50,0.163360825
160,10,0.20664552499999997
160,20,0.201618075
160,30,0.19967532500000001
160,40,0.19850862500000002
160,50,0.19766167499999998
170,10,0.24766095
170,20,0.24247899999999997
170,30,0.238890175
170,40,0.23772589999999996
170,50,0.23699429999999996
180,10,0.29223735
180,20,0.2855372
180,30,0.28267849999999994
180,40,0.282027625
180,50,0.281029575
190,10,0.34161745000000004
190,20,0.333199725
190,30,0.3303197
190,40,0.330234725
190,50,0.327708875
200,10,0.3962035
200,20,0.38699245
200,30,0.385515075
200,40,0.38339162499999996
200,50,0.38815944999999996
